title,url,date_guess
County Council Annual Meeting - 20th June 2022,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Annual-Meeting-20.06.22-Minutes.pdf,20th June 2022
Special County Council Meeting - 13th June 2022,https://www.wexfordcoco.ie/sites/default/files/content/Minutes-of-Special-Meeting-of-Wexford-County-Council-Planning-13th-June-2022.pdf,13th June 2022
County Council Meeting - Minutes 13th June 2022,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-13.06.22-Minutes.pdf,13th June 2022
County Council Meeting - Minutes 9th May 2022,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-Minutes-9th-May-2022.pdf,9th May 2022
County Council Meeting - Minutes 11th April 2022,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-Minutes-11th-April-2022.pdf,11th April 2022
County Council Meeting - Minutes 28th March 2022,https://www.wexfordcoco.ie/sites/default/files/content/Council-Meeting-Minutes-28.03.2022_0.pdf,28th March 2022
County Council Meeting - Minutes 14th February 2022,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-Minutes-14.02.2022.pdf,14th February 2022
Special County Council Meeting  - Minutes 14th January 2022,https://www.wexfordcoco.ie/sites/default/files/content/Special-County-Council-Meeting-14.01.22-Minutes_0.pdf,14th January 2022
County Council Meeting - Minutes 10th January 2022,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-10.01.22-Minutes.pdf,10th January 2022
Special County Council Meeting - Minutes 5th January 2022,https://www.wexfordcoco.ie/sites/default/files/content/Special-County-Council-Meeting-05.01.22-Flooding-Minutes.pdf,5th January 2022
Revised Notice for Agenda- Wexford County Council Meeting - 13th December 2021,https://www.wexfordcoco.ie/sites/default/files/content/Revised-Notice-County-Council-Meeting-13th-December-2021.pdf,13th December 2021
Agenda - Wexford County Council Meeting - 13th December 2021,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-13th-December-2021.pdf,13th December 2021
"Agenda - Statutory Budget Meeting 29th November, 2021",https://www.wexfordcoco.ie/sites/default/files/content/Agenda-Statutory-Budget-Meeting-of-Wexford-County-Council-29th-November-2021.pdf,2021
Agenda - Wexford County Council Meeting - 8th November 2021 2.30p.m.,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-8th-November-2021-2.30-pm.pdf,8th November 2021
Agenda - Wexford County Council Meeting - 8th November 2021 4.30p.m.,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-8th-November-2021-4.30-pm.pdf,8th November 2021
Agenda - Wexford County Council Meeting 11th October 2021,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-11th-October-2021.pdf,11th October 2021
Agenda - Wexford County Council Meeting 13th September 2021,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Agenda-13.09.21.pdf,13th September 2021
Agenda - Special Meeting of Wexford County Council 6th September 2021 2.30p.m.,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-Special-Meeting-of-Wexford-County-Council-6th-September-2021-2.30-pm.pdf,6th September 2021
Agenda - Special Meeting of Wexford County Council 6th September 2021 5.30p.m.,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-Special-Meeting-of-Wexford-County-Council-6th-September-2021-5.30-pm.pdf,6th September 2021
Agenda Wexford County Council Meeting 12th July 2021,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County-Council-Meeting-12.07.21-Minutes.pdf,12th July 2021
Agenda - Annual Meeting of Wexford County Council 28th June 2021,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-Annual-Meeting-of-Wexford-County-Council-28th-June-2021.pdf,28th June 2021
Agenda County Council 14th June 2021,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-14th-June-2021.pdf,14th June 2021
Agenda - Special County Council Meeting 14th June 2021,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-Special-Meeting-of-Wexford-County-Council-14th-June-2021.pdf,14th June 2021
Agenda County Council Meeting 10th May 2021,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-10.05.2021.pdf,10th May 2021
Agenda - County Council Meeting 26th April 2021 (Development Plan),https://www.wexfordcoco.ie/sites/default/files/content/Agenda-Special-Meeting-of-Wexford-County-Council-Development-Plan-26th-April-2021_0.pdf,26th April 2021
Agenda - County Council Meeting 12th April 2021,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-12th-April-2021.pdf,12th April 2021
Agenda - County Council Meeting 8th March 2021,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-8th-March-2021.pdf,8th March 2021
Special meeting of Wexford County Council 22nd February 2021,https://www.wexfordcoco.ie/sites/default/files/content/Special-Meeting-of-Wexford-County-Council-Housing-22nd-February-2021.pdf,22nd February 2021
"Agenda - County Council Meeting 8th February, 2021",https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-8th-February-2021_0.pdf,2021
Agenda - County Council Meeting 11th January 2021,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-11th-January-2021.pdf,11th January 2021
County Council Meeting Minutes 13th December 2021,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-Minutes-13.12.21.pdf,13th December 2021
County Council Budget Meeting Minutes 29th November 2021,https://www.wexfordcoco.ie/sites/default/files/content/Environment/BiodiversityComm/County-Council-Budget-Meeting-29.11.21-Minutes.pdf,29th November 2021
County Council Meeting Minutes 8th November 2021 (4.30pm),https://www.wexfordcoco.ie/sites/default/files/content/Environment/BiodiversityComm/County-Council-Meeting-8.11.21-4.30PM-Minutes.pdf,8th November 2021
County Council Meeting Minutes 8th November 2021 (2.30pm),https://www.wexfordcoco.ie/sites/default/files/content/Environment/BiodiversityComm/County-Council-Meeting-8.11.21-2.30pm-Minutes.pdf,8th November 2021
County Council Meeting Minutes 11th October 2021,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-11.10.21-Minutes.pdf,11th October 2021
County Council Meeting Minutes 13th September 2021,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-13.9.21-Minutes.pdf,13th September 2021
Special (Planning) Meeting Minutes 6th September 2021 (2.30pm),https://www.wexfordcoco.ie/sites/default/files/content/Special-Planning-Meeting-06.09.21-Minutes-2.30pm_2.pdf,6th September 2021
Special (Planning) Meeting Minutes 6th September (5.15pm),https://www.wexfordcoco.ie/sites/default/files/content/Special-Planning-Meeting-06.09.21-Minutes-5.15pm_0.pdf,
County Council Meeting Minutes 12th July 2021,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County-Council-Meeting-12.07.21-Minutes.pdf,12th July 2021
Annual County Council Meeting Minutes 28th June 2021,https://www.wexfordcoco.ie/sites/default/files/content/Annual-Meeting-Minutes-28th-June-2021.pdf,28th June 2021
Special County Council Meeting Minutes 14th June 2021,https://www.wexfordcoco.ie/sites/default/files/content/Special-Planning-Meeting-14.06.21-Minutes.pdf,14th June 2021
County Council Meeting Minutes 14th June 2021,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-14.06.21-Minutes.pdf,14th June 2021
