variation,canonical_name
"Staples Leonard","Leonard Kelly"
"Walsh George","Oliver Walsh"
"Walsh George","George Lawlor"
"Whelan George","Michael Whelan"
"Whelan George","George Lawlor"
"Anthony Conncik","Anthony Connick"
"Breen Bolger","Pip Breen"
"Breen Bolger","Andrew Bolger"
"Brid Barbara-Anne","Bridin Murphy"
"Brid Barbara-Anne","Barbara-Anne Murphy"
"Brid Murphy","Bridin Murphy"
"Browne Breen","Aidan Browne"
"Browne Breen","Pip Breen"
"Byrne Fionntain","Cathal Byrne"
"Byrne Fionntain","Fionntain O'Suilleabhain"
"Carthy Byrne","Ger Carthy"
"Carthy Byrne","Cathal Byrne"
"Cathal Aidan","Cathal Byrne"
"Cathal Aidan","Aidan Browne"
"Codd-Nolan Frank","Kathleen Codd-Nolan"
"Codd-Nolan Frank","Frank Staples"
"Connick Michael","Anthony Connick"
"Connick Michael","Michael Whelan"
"Devereux Joe","Diarmuid Devereux"
"Devereux Joe","Joe Sullivan"
"Hegarty Pip","John Hegarty"
"Hegarty Pip","Pip Breen"
"Hynes Aidan","David Hynes"
"Hynes Aidan","Aidan Browne"
"Jim Codd","Jim Moore"
"Jim Codd","Ger Codd"
"John Bridin","John Hegarty"
"John Bridin","Bridin Murphy"
"Laffan Kathleen","Gary Laffan"
"Laffan Kathleen","Kathleen Codd-Nolan"
"Mcdonald Anthony","Lisa McDonald"
"Mcdonald Anthony","Anthony Donohoe"
"Michael Jackser","Michael Sheehan"
"Michael Jackser","Jackser Owens"
"Michael Oliver","Michael Sheehan"
"Michael Oliver","Oliver Walsh"
"Murphy Mary","Bridin Murphy"
"Murphy Mary","Mary Farrell"
"O'Rourke Murphy","John O'Rourke"
"O'Rourke Murphy","Bridin Murphy"
"Sheehan Willie","Michael Sheehan"
"Sheehan Willie","Willie Kavanagh"
"Walsh Donal","Oliver Walsh"
"Walsh Donal","Donal Kenny"
"Andrew Maura","Andrew Bolger"
"Andrew Maura","Maura Bell"
"Barbara-Anne Jim","Barbara-Anne Murphy"
"Barbara-Anne Jim","Jim Moore"
"Bolger John","Andrew Bolger"
"Bolger John","John Hegarty"
"Bridin Barbara-Anne","Bridin Murphy"
"Bridin Barbara-Anne","Barbara-Anne Murphy"
"Byrne Jackser","Cathal Byrne"
"Byrne Jackser","Jackser Owens"
"Carthy Jackser","Ger Carthy"
"Carthy Jackser","Jackser Owens"
"Carthy Michael","Ger Carthy"
"Carthy Michael","Michael Sheehan"
"Cathal Codd","Cathal Byrne"
"Cathal Codd","Ger Codd"
"Codd-Nolan Michael","Kathleen Codd-Nolan"
"Codd-Nolan Michael","Michael Sheehan"
"Codd-Nolan Oliver","Kathleen Codd-Nolan"
"Codd-Nolan Oliver","Oliver Walsh"
"Connick Frank","Anthony Connick"
"Connick Frank","Frank Staples"
"Devereux Connick","Diarmuid Devereux"
"Devereux Connick","Anthony Connick"
"Devereux Oliver","Diarmuid Devereux"
"Devereux Oliver","Oliver Walsh"
"Donohoe Oliver","Anthony Donohoe"
"Donohoe Oliver","Oliver Walsh"
"Farrell Donohoe","Mary Farrell"
"Farrell Donohoe","Anthony Donohoe"
"Fleming John","John Fleming"
"Forde Tom","Tom Forde"
"Joe Frank","Joe Sullivan"
"Joe Frank","Frank Staples"
"Kelly Michael","Leonard Kelly"
"Kelly Michael","Michael Sheehan"
"Kenny Jim","Donal Kenny"
"Kenny Jim","Jim Moore"
"Kenny Joe","Donal Kenny"
"Kenny Joe","Joe Sullivan"
"Maura Pat","Maura Bell"
"Maura Pat","Pat Barden"
"Mcdonald Diarmuid","Lisa McDonald"
"Mcdonald Diarmuid","Diarmuid Devereux"
"Michael Joe","Michael Sheehan"
"Michael Joe","Joe Sullivan"
"O'Suilleabhain David","Fionntain O'Suilleabhain"
"O'Suilleabhain David","David Hynes"
"Sheehan Owens","Michael Sheehan"
"Sheehan Owens","Jackser Owens"
"Staples Donal","Frank Staples"
"Staples Donal","Donal Kenny"
"Sullivan Gary","Joe Sullivan"
"Sullivan Gary","Gary Laffan"
"Sullivan Willie","Joe Sullivan"
"Sullivan Willie","Willie Kavanagh"
"Walsh Sullivan","Oliver Walsh"
"Walsh Sullivan","Joe Sullivan"
"Whelan Garry","Michael Whelan"
"Whelan Garry","Garry Laffan"
"Aidan Pip","Aidan Browne"
"Aidan Pip","Pip Breen"
"Anthony Fleming","Anthony Donohoe"
"Anthony Fleming","John Fleming"
"Barbara O'Rourke","Barbara-Anne Murphy"
"Barbara O'Rourke","John O'Rourke"
"Bell Murphy","Maura Bell"
"Bell Murphy","Bridin Murphy"
"Bolger Bridin","Andrew Bolger"
"Bolger Bridin","Bridin Murphy"
"Breen John","Pip Breen"
"Breen John","John Hegarty"
"Bridin Anne","Bridin Murphy"
"Bridin Anne","Barbara-Anne Murphy"
"Browne Jackser","Aidan Browne"
"Browne Jackser","Jackser Owens"
"Byrne Michael","Cathal Byrne"
"Byrne Michael","Michael Sheehan"
"Carthy Frank","Ger Carthy"
"Carthy Frank","Frank Staples"
"Carthy Staples","Ger Carthy"
"Carthy Staples","Frank Staples"
"Codd-Nolan Jim","Kathleen Codd-Nolan"
"Codd-Nolan Jim","Jim Moore"
"Codd-Nolan Lisa","Kathleen Codd-Nolan"
"Codd-Nolan Lisa","Lisa McDonald"
"Connick Joe","Anthony Connick"
"Connick Joe","Joe Sullivan"
"Devereux Michael","Diarmuid Devereux"
"Devereux Michael","Michael Sheehan"
"Farrell Mary","Mary Farrell"
"Fleming Maura","John Fleming"
"Fleming Maura","Maura Bell"
"Frank Michael","Frank Staples"
"Frank Michael","Michael Sheehan"
"George Gary","George Lawlor"
"George Gary","Gary Laffan"
"Ger Carthy","Ger Carthy"
"Ger Cathal","Ger Carthy"
"Ger Cathal","Cathal Byrne"
"Hegarty Andrew","John Hegarty"
"Hegarty Andrew","Andrew Bolger"
"Hegarty Forde","John Hegarty"
"Hegarty Forde","Tom Forde"
"Hegarty John","John Hegarty"
"Jim Willie","Jim Moore"
"Jim Willie","Willie Kavanagh"
"John Tom","John Hegarty"
"John Tom","Tom Forde"
"Kavanagh Aidan","Paddy Kavanagh"
"Kavanagh Aidan","Aidan Browne"
