councillor,meetings_attended,apologies_recorded,motions_proposed,motions_seconded
Walshanthony Sullivanjoe,1,0,0,0
Whelan Oliver,1,0,0,0
Whelanmichael Walsholiver,1,0,0,0
Willie Paddy,1,0,0,0
A Donoghue,0,0,0,3
A Donohue,0,0,1,2
A Fenlon,0,0,1,6
A O'Brien,0,0,16,18
A R,0,0,3,3
Allen,0,2,0,0
"Andrew Bolger 
Cllr",0,1,0,0
Anna Fenlon,0,2,0,0
"Anthony Connick 

Following",0,1,0,0
Anthony Kelly,0,5,0,0
"Anthony Kelly 

The Cathaoirleach",0,1,0,0
Anthony Kelly’S,0,1,0,0
Aoife Rose O' Brien,0,1,0,0
Aoife Rose O'Brien,0,4,0,0
Aoife Rose O’Brien,0,7,0,0
"Aoife Rose O’Brien 

Page",0,1,0,0
Aoiferose O'Brien,0,1,0,0
B A,0,0,13,8
B Ireton,0,0,2,5
"Ba 
Murphy",0,1,0,0
Ba  Murphy,0,1,0,0
Ba Murphy,0,6,0,0
"Ba Murphy 
Cathaoirleach",0,2,0,0
"Barbara 
Anne Murphy",0,1,0,0
Barbara Ann,0,0,1,0
Barbara Ann Murphy,0,1,0,0
Barbara Anne Murphy,0,4,0,0
"Barbara Anne Murphy 

Page",0,1,0,0
"Barbara-Anne Murphy 

Cathaoirleach 

David Minogue",0,1,0,0
"Barbara-Anne Murphy 
Cathaoirleach",0,8,0,0
Barden,0,3,0,0
Barron,0,1,0,0
Bell,0,2,0,0
Bernard  Crosbie,0,1,0,0
Boland,0,1,0,0
Br,0,1,0,0
Breen,0,4,0,0
Breen And,0,0,0,1
Breen Approved,0,0,0,1
Breen’S,0,1,0,0
Brid,0,5,0,1
"Bridin Murphy 

Votes",0,1,0,0
Browne,0,4,0,0
Byrne,0,9,0,0
Byrne And,0,0,1,0
C B,0,0,3,0
Carthy,0,14,0,0
Carthy And,0,0,1,0
Carthy’S,0,1,0,0
"Cathal Byrne 

Page",0,1,0,0
Catherine Walsh,0,1,0,0
Cllr A,0,0,1,0
Cllr F,0,0,1,1
Codd,0,3,0,0
"Codd 
Nolan’S",0,1,0,0
Codd Nolan,0,2,0,0
"Codd- 
Nolan",0,1,0,0
Codd-Nolan,0,1,0,0
Connick,0,3,0,0
Craig Doyle,0,3,0,0
Curtis,0,1,0,0
D Kennedy,0,0,19,30
D Macpartlin,0,0,30,6
D Wadding,0,0,32,38
"David 
Hynes 

Special County Council Meeting",0,1,0,0
"David 
Hynes 

To",0,1,0,0
Davy Hynes,0,9,0,0
Declan Macpartlin,0,2,0,0
Deirdre Wadding,0,1,0,0
Dempsey’S,0,1,0,0
Denis Kennedy,0,1,0,0
"Diarmuid Devereux 

Votes",0,1,0,0
"Diarmuid Devereux 
Cllr",0,2,0,0
Doyle,0,1,0,0
Doyle And,0,0,0,3
Dwyer,0,1,0,0
Dwyer’S,0,1,0,0
Eu Eu,0,1,0,0
F,0,0,38,35
F O,0,0,4,1
F O',0,0,0,2
F O'S,0,0,1,2
F O'Sullivan,0,0,1,0
F Os,0,0,2,5
F S,0,0,1,2
Farrell,0,2,0,0
Farrell And,0,0,0,4
Fenlon,0,2,0,0
Fergie  Kehoe,0,1,0,0
Fergie Kehoe,0,3,0,0
Fergie Kehoe’S,0,2,0,0
Fionnt,0,14,0,0
Fitzharris,0,2,0,0
Fleming,0,4,0,0
Forde,0,15,0,0
Forde And,0,0,2,1
Forde Following,0,0,0,1
Forde Page,0,0,0,1
Forde’S,0,2,0,0
Forde’S October,0,1,0,0
"Frank 
Staples",0,2,0,0
"Frank Staples 

Votes",0,1,0,0
G Carty,0,0,1,1
"George 
Lawlor",0,2,0,0
"George Lawlor 

At",0,1,0,0
"George Lawlor 
Cathaoirleach",0,15,0,0
"Ger 

Wxf-C",0,1,0,0
"Ger 
Carthy",0,2,0,0
"Ger Carthy 
Cathaoirleach",0,5,0,0
"Ger Carthy 
Leas Cathaoirleach",0,1,0,0
Hegarty,0,4,0,0
Hegarty And,0,0,1,0
Hse Alone,0,1,0,0
Hse Td,0,1,0,0
Hynes,0,7,0,0
Hynes And,0,0,1,0
Hynes Seconded,0,0,1,0
Ireton,0,0,1,0
Ireton And,0,0,0,1
J Curtis,0,0,2,3
J O',0,0,1,0
"Jackser 
Owens",0,1,0,0
"Jackser Owens 

Michael",0,1,0,0
"Jackser Owens 

Page",0,1,0,0
"Jackser Owens 

Votes",0,1,0,0
James Browne,0,3,0,0
"Jim 

Codd 

Cllr Jim 

Moore 

Cllr",0,1,0,0
Jim  Moore,0,1,0,0
Jimmy Fleming,0,1,0,0
Joe  Sullivan,0,1,0,0
"Joe Sullivan 

Cathaoirleach  

Michael Drea",0,2,0,0
"Joe Sullivan 
Cathaoirleach",0,2,0,0
Joe Sullivan’S,0,1,0,0
John,0,1,0,0
"John Fleming 

Cathaoirleach  

Michael Drea",0,7,0,0
"John Fleming 

Cathaoirleach  

Susan Doran",0,1,0,0
"John Fleming 

Page",0,1,0,0
"John Fleming 
Cathaoirleach",0,3,0,0
"John Fleming  

Cathaoirleach 

Michael Drea  

County Secretary",0,1,0,0
"John Fleming  
Cathaoirleach",0,1,0,0
John Fleming Referred,0,1,0,0
"John Hegarty 

Mr",0,1,0,0
John O’Rourke,0,3,0,0
"John O’Rourke 

Frank  

Robbie",0,1,0,0
Johnny  Mythen,0,1,0,0
Johnny Mythen,0,3,0,0
K,0,0,1,0
K Codd-,0,0,3,4
K Nolan,0,0,0,2
Kathleen  Codd-Nolan,0,1,0,0
Kathleen Codd Nolan,0,12,0,0
"Kathleen Codd Nolan 

Cllr",0,1,0,0
Kavanagh,0,4,0,0
Kavanagh’S,0,1,0,0
Kehoe,0,2,0,0
Kehoe’S,0,2,0,0
Keith Doyle,0,1,0,0
Kelly,0,6,0,0
Kelly’S,0,1,0,0
Kennedy,0,2,0,0
Kennedy’S,0,1,0,0
Kenny,0,1,0,0
Kenny And,0,0,0,1
Kenny Following,0,0,0,1
L Allen,0,0,9,6
L Cllr,0,0,0,1
L O',0,0,0,3
L O'Brien,0,0,60,61
L Seconded,0,0,1,0
Lac Xi,0,1,0,0
Laffan,0,3,0,0
Laffan And,0,0,1,0
Larry O’Brien,0,3,0,0
Lawlor,0,10,0,0
Lawlor Following,0,0,1,0
Leader Leader,0,1,0,0
"Leonard 
Kelly",0,1,0,0
"Leonard Kelly 
Cllr",0,3,0,0
